index_code,date,open,close,low,1,volume,money,change
sh000001,1991/2/25,46,134.4,134.33,46,810000,621000,-0.003484837
sh000001,1991/2/26,47,133.93,133.9,47,1094000,2545700,-0.003497024
sh000001,1991/2/27,48,133.47,133.44,48,214000,142000,-0.00343463
sh000001,1991/2/28,49,133.01,132.98,49,2258000,1188000,-0.003446467
sh000001,1991/3/1,50,132.53,132.47,50,7124000,3777300,-0.003608751
sh000001,1991/3/4,51,131.99,131.98,51,2518000,1418000,-0.004074549
sh000001,1991/3/5,52,131.46,131.41,52,982000,934700,-0.004015456
sh000001,1991/3/6,53,130.94,130.89,53,719000,1345400,-0.003955576
sh000001,1991/3/7,54,130.41,130.41,54,568000,427500,-0.004047655
sh000001,1991/3/8,55,129.89,129.84,55,933000,541800,-0.003987424
sh000001,1991/3/11,56,129.31,129.3,56,514000,299500,-0.004465317
sh000001,1991/3/12,57,128.77,128.73,57,957000,783100,-0.004176011
sh000001,1991/3/13,58,126.15,126.13,58,498000,418300,-0.020346354
sh000001,1991/3/14,59,125.63,125.61,59,326000,242600,-0.004122077
sh000001,1991/3/15,60,125.17,125.08,60,790000,403500,-0.003661546
sh000001,1991/3/18,61,124.71,124.69,61,1250000,1210400,-0.003675002
sh000001,1991/3/19,62,124.22,124.22,62,892000,682900,-0.003929116
sh000001,1991/3/20,63,123.66,123.63,63,678000,433100,-0.004508131
sh000001,1991/3/21,64,123.12,123.12,64,151000,131100,-0.004366812
sh000001,1991/3/22,65,122.62,122.62,65,207000,120100,-0.004061079
sh000001,1991/3/25,66,122.12,122.1,66,443000,324200,-0.004077638
sh000001,1991/3/26,67,121.62,121.62,67,1164000,709000,-0.004094333
sh000001,1991/3/27,68,121.12,121.12,68,668000,366000,-0.004111166
sh000001,1991/3/28,69,120.61,120.61,69,961000,505700,-0.0042107
sh000001,1991/3/29,70,120.19,120.11,70,2185000,2186200,-0.003482298
sh000001,1991/4/1,71,120.73,119.68,71,11999000,5666700,0.004492886
sh000001,1991/4/2,72,121.21,120.73,72,816000,387600,0.003975814
sh000001,1991/4/3,73,121.71,121.21,73,2063000,977200,0.004125072
sh000001,1991/4/4,74,121.72,121.24,74,10517000,5045900,8.22E-05
sh000001,1991/4/5,75,121.54,121.03,75,11589000,6035600,-0.001478804
sh000001,1991/4/8,76,121.09,121.05,76,1862000,1675800,-0.003702485
sh000001,1991/4/9,77,120.62,120.6,77,320000,297100,-0.003881411
sh000001,1991/4/10,78,120.16,120.09,78,466000,281200,-0.00381363
sh000001,1991/4/11,79,119.64,119.62,79,239000,576800,-0.004327563
sh000001,1991/4/12,80,119.21,119.15,80,399000,301300,-0.003594116
sh000001,1991/4/15,81,118.77,118.72,81,301000,387000,-0.003690966
sh000001,1991/4/16,82,118.34,118.34,82,105000,177200,-0.003620443
sh000001,1991/4/17,83,117.9,117.89,83,201000,259500,-0.0037181
sh000001,1991/4/18,84,117.45,117.45,84,178000,133900,-0.003816794
sh000001,1991/4/19,85,117.08,117.05,85,646000,424700,-0.003150277
sh000001,1991/4/22,86,116.63,116.58,86,430000,321300,-0.003843526
sh000001,1991/4/23,87,116.19,116.15,87,282000,264400,-0.003772614
sh000001,1991/4/24,88,115.79,115.7,88,148000,121800,-0.003442637
sh000001,1991/4/25,89,115.36,115.33,89,1495000,998900,-0.003713619
sh000001,1991/4/26,90,115.56,114.52,90,13354000,5806800,0.001733703
sh000001,1991/4/29,91,114.75,114.75,91,8411000,3610700,-0.007009346
sh000001,1991/4/30,92,113.94,113.89,92,4850000,2734200,-0.007058824
sh000001,1991/5/2,93,113.16,113.03,93,1465000,1124000,-0.006845708
sh000001,1991/5/3,94,112.41,112.3,94,4230000,2386900,-0.006627784
sh000001,1991/5/6,95,111.61,111.57,95,2764000,1423600,-0.007116805
sh000001,1991/5/7,96,110.82,110.8,96,1875000,907000,-0.007078219
sh000001,1991/5/8,97,110.03,110,97,423000,375200,-0.007128677
sh000001,1991/5/9,98,109.29,109.31,98,2266000,1215600,-0.006725439
sh000001,1991/5/10,99,108.53,108.53,99,249000,313200,-0.006953976
sh000001,1991/5/13,100,107.84,107.74,100,235000,182300,-0.006357689
sh000001,1991/5/14,101,107.19,107.06,101,267000,185400,-0.006027448
sh000001,1991/5/15,102,106.57,106.42,102,390000,307700,-0.005784122
sh000001,1991/5/16,103,105.77,105.69,103,3108000,1445900,-0.007506803
sh000001,1991/5/17,104,106.75,104.96,104,20192000,7633100,0.009265387
sh000001,1991/5/20,105,107.82,106.71,105,863000,924200,0.010023419
sh000001,1991/5/21,106,108.81,108.62,106,771000,1309600,0.00918197
sh000001,1991/5/22,107,108.25,108.11,107,18677000,7967000,-0.005146586
sh000001,1991/5/23,108,109.08,107.35,108,5609000,2770500,0.007667436
sh000001,1991/5/24,109,110.08,109.82,109,1024000,661000,0.009167583
sh000001,1991/5/27,110,110.66,109.47,110,8619000,3827800,0.005268895
sh000001,1991/5/28,111,111.68,111.36,111,1630000,970500,0.009217423
sh000001,1991/5/29,112,112.75,111.67,112,530000,1320600,0.009580946
sh000001,1991/5/30,113,113.82,112.77,113,388000,753500,0.009490022
sh000001,1991/5/31,114,114.83,113.84,114,1211000,1470500,0.00887366
sh000001,1991/6/3,115,115.97,114.89,115,954000,1643100,0.009927719
sh000001,1991/6/4,116,117.12,116.83,116,3603000,2018600,0.009916358
sh000001,1991/6/5,117,118.17,117.14,117,308000,279300,0.008965164
sh000001,1991/6/6,118,119.35,118.17,118,266000,160500,0.009985614
sh000001,1991/6/7,119,120.47,119.35,119,100000,83200,0.009384164
sh000001,1991/6/10,120,121.67,120.47,120,400000,458900,0.009960986
sh000001,1991/6/11,121,122.89,121.67,121,543000,375000,0.010027123
sh000001,1991/6/12,122,124.11,122.89,122,1372000,735400,0.009927578
sh000001,1991/6/13,123,125.34,123.65,123,20868000,11563800,0.009910563
sh000001,1991/6/14,124,124.53,124.47,124,6633000,3541100,-0.006462422
sh000001,1991/6/17,125,125.77,123.54,125,6933000,4056700,0.00995744
sh000001,1991/6/18,126,127.03,126.67,126,2030000,1015100,0.010018287
sh000001,1991/6/19,127,128.29,127.03,127,1481000,744100,0.009918917
sh000001,1991/6/20,128,129.57,129.21,128,2299000,1321300,0.009977395
sh000001,1991/6/21,129,130.86,128.81,129,13613000,7746500,0.009956008
sh000001,1991/6/24,130,132.17,131.8,130,1960000,1657800,0.010010698
sh000001,1991/6/25,131,133.49,132.17,131,1624000,1296000,0.009987138
sh000001,1991/6/26,132,134.83,133.49,132,3409000,2150000,0.010038205
sh000001,1991/6/27,133,136.19,134.83,133,4497000,2521200,0.010086776
sh000001,1991/6/28,134,137.56,136.19,134,4935000,3033000,0.010059476
sh000001,1991/7/1,135,136.85,136.56,135,22940000,12469900,-0.005161384
sh000001,1991/7/2,136,135.96,135.69,136,2838000,3794100,-0.006503471
sh000001,1991/7/3,137,135.27,134.98,137,2715000,1818500,-0.005075022
sh000001,1991/7/4,138,136.63,134.19,138,13394000,8095100,0.010053966
sh000001,1991/7/5,139,135.96,135.9,139,14540000,9394900,-0.004903755
sh000001,1991/7/8,140,135.28,134.93,140,5874000,2925900,-0.005001471
sh000001,1991/7/9,141,134.64,134.31,141,8442000,4174800,-0.004730928
sh000001,1991/7/10,142,133.99,133.72,142,6023000,2894600,-0.004827689
sh000001,1991/7/11,143,133.38,133.13,143,5073000,2417900,-0.004552579
sh000001,1991/7/12,144,132.8,132.42,144,3144000,1484100,-0.004348478
sh000001,1991/7/15,145,133.14,131.87,145,11938000,5534900,0.002560241
sh000001,1991/7/16,146,134.47,133.14,146,2796000,1328500,0.009989485
sh000001,1991/7/17,147,135.81,135.39,147,660000,397500,0.009965048
sh000001,1991/7/18,148,137.17,135.81,148,847000,464400,0.01001399
sh000001,1991/7/19,149,136.7,136.66,149,10823000,5242800,-0.003426405
sh000001,1991/7/22,150,138.07,136.7,150,2764000,1423200,0.010021946
sh000001,1991/7/23,151,139.39,138.07,151,7241000,3548600,0.009560368
sh000001,1991/7/24,152,140.68,138.69,152,5988000,2901500,0.009254609
sh000001,1991/7/25,153,140.19,139.99,153,8390000,4080900,-0.003483082
sh000001,1991/7/26,154,140.66,139.27,154,9279000,4520800,0.003352593
sh000001,1991/7/29,155,141.52,140.81,155,4771000,2350300,0.006114034
sh000001,1991/7/30,156,142.39,141.39,156,5601000,2718000,0.006147541
sh000001,1991/7/31,157,143.8,142.39,157,4051000,1993200,0.009902381
sh000001,1991/8/1,158,145.24,143.8,158,4731000,2310500,0.010013908
sh000001,1991/8/2,159,146.68,145.44,159,11744000,5825100,0.009914624
sh000001,1991/8/5,160,148.15,146.68,160,5126000,2594000,0.010021816
sh000001,1991/8/6,161,149.62,148.15,161,2001000,1065500,0.009922376
sh000001,1991/8/7,162,151.12,149.62,162,1107000,580200,0.010025398
sh000001,1991/8/8,163,152.61,151.12,163,1951000,1045400,0.009859714
sh000001,1991/8/9,164,154.1,152.61,164,3715000,1990400,0.009763449
sh000001,1991/8/12,165,155.54,154.1,165,3919000,2154200,0.009344581
sh000001,1991/8/13,166,157.07,155.54,166,20039000,10529700,0.009836698
sh000001,1991/8/14,167,158.63,158.11,167,5480000,2929200,0.009931878
sh000001,1991/8/15,168,160.21,158.63,168,1537000,850800,0.009960285
sh000001,1991/8/16,169,161.6,160.21,169,984000,581300,0.008676113
sh000001,1991/8/19,170,163.21,161.6,170,985000,615000,0.009962871
sh000001,1991/8/20,171,164.84,163.21,171,573000,388300,0.009987133
sh000001,1991/8/21,172,166.49,164.84,172,3411000,2106400,0.010009706
sh000001,1991/8/22,173,168.16,166.49,173,1296000,845700,0.010030632
sh000001,1991/8/23,174,169.81,168.16,174,605000,502600,0.009812084
sh000001,1991/8/26,175,171.51,169.81,175,643000,518100,0.010011189
sh000001,1991/8/27,176,173.19,171.51,176,796000,521000,0.009795347
sh000001,1991/8/28,177,174.92,173.19,177,804000,511400,0.009989029
sh000001,1991/8/29,178,176.66,174.92,178,2608000,1629100,0.009947405
sh000001,1991/8/30,179,178.43,176.66,179,6759000,4219200,0.010019246
sh000001,1991/9/2,180,180.22,178.43,180,1408000,886900,0.010031945
sh000001,1991/9/3,181,181.97,180.22,181,1475000,940300,0.009710354
sh000001,1991/9/4,182,183.69,181.97,182,650000,470000,0.009452107
sh000001,1991/9/5,183,185.51,183.69,183,1514000,1095200,0.009907997
sh000001,1991/9/6,184,187.36,185.51,184,2765000,1761300,0.009972508
sh000001,1991/9/9,185,189.24,187.36,185,3552000,2349600,0.010034159
sh000001,1991/9/10,186,188.33,188.19,186,33434000,21507800,-0.004808709
sh000001,1991/9/11,187,187.22,186.86,187,21392000,14677400,-0.00589391
sh000001,1991/9/12,188,186.22,186.07,188,19699000,16265700,-0.00534131
sh000001,1991/9/13,189,187.79,185.01,189,37434000,24035000,0.008430888
sh000001,1991/9/16,190,189.66,187.79,190,9933000,6343200,0.009957932
sh000001,1991/9/17,191,188.65,188.28,191,28829000,18623900,-0.005325319
sh000001,1991/9/18,192,187.63,187.18,192,15822000,11015600,-0.005406838
sh000001,1991/9/19,193,186.88,186.49,193,23439000,14607500,-0.003997229
sh000001,1991/9/20,194,185.92,185.66,194,12075000,7417600,-0.005136986
sh000001,1991/9/23,195,185,184.71,195,4034000,2806700,-0.004948365
sh000001,1991/9/24,196,184.08,183.69,196,1426000,1002700,-0.004972973
sh000001,1991/9/25,197,183.19,182.8,197,1389000,934100,-0.004834854
sh000001,1991/9/26,198,182.33,181.93,198,6541000,4620200,-0.004694579
sh000001,1991/9/27,199,181.82,181.19,199,33728000,20416500,-0.002797126
sh000001,1991/9/30,200,180.92,180.27,200,25594000,22336000,-0.004949951
sh000001,1991/10/3,201,182.48,179.8,201,18741000,12330000,0.008622596
sh000001,1991/10/4,202,184.29,183.59,202,7360000,5040000,0.009918895
sh000001,1991/10/7,203,186,185.41,203,11369000,7291200,0.009278854
sh000001,1991/10/8,204,187.49,186,204,23745000,15241600,0.008010753
sh000001,1991/10/9,205,189.12,186.31,205,20989000,13440100,0.008693797
sh000001,1991/10/10,206,191.01,189.12,206,6638000,4333500,0.009993655
sh000001,1991/10/11,207,192.85,191.01,207,10981000,7251800,0.009633004
sh000001,1991/10/14,208,194.67,192.32,208,21493000,13948000,0.009437387
sh000001,1991/10/15,209,196.61,194.67,209,11002000,7265200,0.009965583
sh000001,1991/10/16,210,198.57,196.61,210,9562000,6274000,0.009968974
sh000001,1991/10/17,211,200.51,198.57,211,6077000,4136300,0.009769854
sh000001,1991/10/18,212,202.51,200.51,212,2968000,2384100,0.009974565
sh000001,1991/10/21,213,204.53,202.51,213,3537000,2514300,0.009974816
sh000001,1991/10/22,214,206.53,204.53,214,2128000,1521100,0.009778517
sh000001,1991/10/23,215,208.25,206.53,215,2623000,1980100,0.008328088
sh000001,1991/10/24,216,210.07,208.25,216,19357000,13174200,0.008739496
sh000001,1991/10/25,217,211.86,209.71,217,32650000,22263100,0.008520969
sh000001,1991/10/28,218,213.98,211.86,218,3217000,2357900,0.010006608
sh000001,1991/10/29,219,215.78,213.98,219,2697000,2069700,0.008412001
sh000001,1991/10/30,220,216.43,215.78,220,2380000,1814500,0.003012327
sh000001,1991/10/31,221,218.6,216.43,221,3929000,2914700,0.010026336
sh000001,1991/11/1,222,220.72,218.6,222,5906000,4313400,0.009698079
sh000001,1991/11/4,223,222.77,220.79,223,4474000,3352300,0.009287785
sh000001,1991/11/5,224,224.65,222.77,224,2805000,2225600,0.008439197
sh000001,1991/11/6,225,226.88,224.65,225,2848000,2188100,0.009926552
sh000001,1991/11/7,226,228.93,226.88,226,4833000,4085100,0.009035614
sh000001,1991/11/8,227,231.22,228.93,227,14406000,11039100,0.010003058
sh000001,1991/11/11,228,233.55,231.22,228,2474000,2130800,0.010076983
sh000001,1991/11/12,229,235.8,233.55,229,895000,914400,0.009633911
sh000001,1991/11/13,230,236.67,235.8,230,799000,880000,0.003689567
sh000001,1991/11/14,231,237.45,236.67,231,862000,940100,0.003295728
sh000001,1991/11/15,232,238.25,237.45,232,2058000,1914800,0.00336913
sh000001,1991/11/18,233,240.62,238.25,233,1885000,1534400,0.009947534
sh000001,1991/11/19,234,242.24,240.62,234,2310000,2040900,0.006732607
sh000001,1991/11/20,235,244.5,242.24,235,2325000,1929100,0.00932959
sh000001,1991/11/21,236,246.31,244.5,236,2155000,2030500,0.007402863
sh000001,1991/11/22,237,248.53,246.31,237,2133000,1954500,0.009013032
sh000001,1991/11/25,238,250.85,248.53,238,2331000,1964000,0.009334889
sh000001,1991/11/26,239,252.97,250.85,239,2454000,2326600,0.008451266
sh000001,1991/11/27,240,255.45,252.97,240,2120000,1756900,0.009803534
sh000001,1991/11/28,241,257.35,255.45,241,2502000,2251800,0.007437855
sh000001,1991/11/29,242,259.6,257.35,242,33695000,28453900,0.008742957
sh000001,1991/12/2,243,262.19,259.67,243,19128000,16310200,0.009976888
sh000001,1991/12/3,244,264.81,262.19,244,1101000,1207600,0.009992753
sh000001,1991/12/4,245,265.77,264.81,245,742000,903300,0.003625241
sh000001,1991/12/5,246,266.66,265.77,246,2050000,2100300,0.00334876
sh000001,1991/12/6,247,269.35,266.66,247,1613000,1798900,0.010087752
sh000001,1991/12/9,248,270.27,269.35,248,1631000,1648800,0.00341563
sh000001,1991/12/10,249,272.91,270.27,249,516000,665500,0.00976801
sh000001,1991/12/11,250,273.71,272.91,250,669000,859000,0.002931369
sh000001,1991/12/12,251,274.41,273.71,251,1577000,1644200,0.002557451
sh000001,1991/12/13,252,277,274.41,252,746000,962300,0.009438432
sh000001,1991/12/16,253,277.85,277,253,580000,817000,0.003068592
sh000001,1991/12/17,254,278.68,277.85,254,493000,755000,0.002987223
sh000001,1991/12/18,255,279.51,278.68,255,760000,893300,0.002978326
sh000001,1991/12/19,256,280.17,279.51,256,1094000,1242700,0.002361275
sh000001,1991/12/20,257,282.83,280.63,257,4393000,6268700,0.009494236
sh000001,1991/12/23,258,285.65,282.83,258,1046000,1182100,0.009970654
sh000001,1991/12/24,259,286.22,285.65,259,486000,593400,0.001995449
sh000001,1991/12/25,260,287.15,286.22,260,573000,873600,0.003249249
sh000001,1991/12/26,261,288.03,287.15,261,1168000,1422400,0.0030646
sh000001,1991/12/27,262,290.85,288.03,262,1551000,1789500,0.009790647
sh000001,1991/12/30,263,291.71,290.85,263,1165000,1881100,0.002956851
sh000001,1991/12/31,264,292.75,291.71,264,584000,858900,0.003565185
sh000001,1992/1/2,265,293.75,292.76,265,928000,1339600,0.003415884
sh000001,1992/1/3,266,296.52,293.75,266,1436000,1842200,0.009429787
sh000001,1992/1/6,267,297.68,296.52,267,3400000,4236000,0.003912046
sh000001,1992/1/7,268,298.77,297.68,268,892000,1064000,0.00366165
sh000001,1992/1/8,269,299.66,298.77,269,659000,930500,0.00297888
sh000001,1992/1/9,270,300.62,299.66,270,943000,1244800,0.003203631
sh000001,1992/1/10,271,301.83,300.62,271,1605000,2629600,0.004025015
sh000001,1992/1/13,272,303.06,302,272,725000,1097500,0.004075142
sh000001,1992/1/14,273,305.74,303.06,273,632000,858500,0.008843133
sh000001,1992/1/15,274,306.63,305.74,274,259000,315000,0.00291097
sh000001,1992/1/16,275,306.85,306.63,275,378000,488300,0.000717477
sh000001,1992/1/17,276,307.38,306.85,276,250000,321900,0.001727228
sh000001,1992/1/20,277,307.39,307.38,277,445000,503000,3.25E-05
sh000001,1992/1/21,278,307.87,307.39,278,534000,650500,0.001561534
sh000001,1992/1/22,279,307.95,307.87,279,312000,439900,0.00025985
sh000001,1992/1/23,280,308.53,307.95,280,413000,583200,0.001883423
sh000001,1992/1/24,281,309.05,308.53,281,722000,1004000,0.001685411
sh000001,1992/1/27,282,311.61,309.05,282,562000,750800,0.008283449
sh000001,1992/1/28,283,311.84,311.61,283,664000,822800,0.000738102
sh000001,1992/1/29,284,312.42,311.84,284,401000,450200,0.001859928
sh000001,1992/1/30,285,312.73,312.42,285,391000,543800,0.000992254
sh000001,1992/1/31,286,313.24,312.73,286,354000,586800,0.0016308
sh000001,1992/2/3,287,314.18,313.24,287,305000,583300,0.003000894
sh000001,1992/2/7,288,314.72,314.18,288,327000,527500,0.00171876
sh000001,1992/2/10,289,315.56,314.72,289,354000,586600,0.002669039
sh000001,1992/2/11,290,316.43,315.56,290,296000,460200,0.002757003
sh000001,1992/2/12,291,316.44,316.43,291,270000,397300,3.16E-05
sh000001,1992/2/13,292,317.04,317.06,292,1020000,1686900,0.001896094
sh000001,1992/2/14,293,319.68,317.04,293,457000,770900,0.008327025
sh000001,1992/2/17,294,319.77,319.68,294,6369000,13782100,0.000281532
sh000001,1992/2/18,295,337.11,319.77,295,7407000,12655300,0.054226475
sh000001,1992/2/19,296,342.41,337.11,296,9401000,16501600,0.015721871
sh000001,1992/2/20,297,347.99,342.41,297,10341000,20004800,0.016296253
sh000001,1992/2/21,298,359.59,347.99,298,11582000,19254200,0.033334291
sh000001,1992/2/24,299,360.5,359.59,299,30157000,18038400,0.00253066
sh000001,1992/2/25,300,360.37,357.07,300,4862000,8037600,-0.00036061
sh000001,1992/2/26,301,360.1,359.27,301,5753000,8082700,-0.00074923
sh000001,1992/2/27,302,362.45,360.1,302,9524000,17931400,0.006525965
sh000001,1992/2/28,303,364.66,362.45,303,9862000,26401900,0.006097393
sh000001,1992/3/2,304,365.39,364.66,304,3405000,5644300,0.002001865
sh000001,1992/3/3,305,367,365.39,305,2989000,3366100,0.004406251
sh000001,1992/3/4,306,368.32,366.95,306,5614000,10365300,0.00359673
sh000001,1992/3/5,307,369.76,368.11,307,8360000,14928600,0.003909644
sh000001,1992/3/6,308,371.76,369.76,308,5237000,9958400,0.005408914
sh000001,1992/3/9,309,373.53,371.88,309,20968000,22273800,0.004761136
sh000001,1992/3/10,310,375.23,373.53,310,5011000,7452600,0.004551174
sh000001,1992/3/11,311,376.14,374.98,311,4001000,11238000,0.002425179
sh000001,1992/3/12,312,376.92,376.14,312,10326000,31594200,0.002073696
sh000001,1992/3/13,313,376.38,376.38,313,2527000,4487900,-0.001432665
sh000001,1992/3/16,314,377.05,376.38,314,2646000,2266000,0.001780116
sh000001,1992/3/17,315,377.49,377.03,315,890000,1340100,0.001166954
sh000001,1992/3/18,316,377.66,377.49,316,4028000,2252900,0.000450343
sh000001,1992/3/19,317,377.31,376.21,317,13628000,35111200,-0.00092676
sh000001,1992/3/20,318,377.99,377.31,318,3160000,7844900,0.001802232
sh000001,1992/3/23,319,378.89,377.45,319,10290000,24375100,0.002381015
sh000001,1992/3/24,320,378.69,378.05,320,4378000,7016700,-0.000527858
sh000001,1992/3/25,321,378.12,378.12,321,11820000,21445400,-0.001505189
sh000001,1992/3/26,322,379.13,377.64,322,10225000,24177800,0.00267111
sh000001,1992/3/27,323,380.77,379.13,323,1892000,5469500,0.004325693
sh000001,1992/3/30,324,381.44,380.76,324,12655000,40359400,0.001759592
sh000001,1992/3/31,325,381.24,381.24,325,17391000,53853200,-0.000524329
sh000001,1992/4/1,326,381.01,381.01,326,4065000,7768000,-0.000603295
sh000001,1992/4/2,327,381.12,381.01,327,1673000,3193000,0.000288706
sh000001,1992/4/3,328,381.33,381.12,328,1700000,3377000,0.000551008
sh000001,1992/4/6,329,381.47,381.33,329,5298000,14543600,0.000367136
sh000001,1992/4/7,330,381.93,381.47,330,10613000,30266400,0.001205862
sh000001,1992/4/8,331,382.43,381.92,331,1866000,5277800,0.00130914
sh000001,1992/4/9,332,381.65,381.65,332,3168000,7148200,-0.002039589
sh000001,1992/4/10,333,382.03,381.2,333,7066000,13499400,0.000995677
sh000001,1992/4/13,334,391.11,382.03,334,20593000,52440300,0.023767767
sh000001,1992/4/14,335,400.61,391.1,335,9415000,25184900,0.024289842
sh000001,1992/4/15,336,406.72,398.23,336,10566000,25157500,0.015251741
sh000001,1992/4/16,337,410.55,403.52,337,39211000,57466500,0.009416798
sh000001,1992/4/17,338,414.42,406.19,338,15678000,45102500,0.009426379
sh000001,1992/4/20,339,413.85,413.64,339,10170000,23206800,-0.001375416
sh000001,1992/4/21,340,410.06,402.89,340,51257000,72181100,-0.009157907
sh000001,1992/4/22,341,399.88,399.87,341,50596000,73540000,-0.024825635
sh000001,1992/4/23,342,407.25,394.6,342,54718000,71062000,0.018430529
sh000001,1992/4/24,343,414.4,397.74,343,34706000,47646500,0.017556783
sh000001,1992/4/27,344,424.58,413.47,344,37257000,53584900,0.024565637
sh000001,1992/4/28,345,436.09,424.58,345,42392000,53950400,0.027109143
sh000001,1992/4/29,346,444.16,436.09,346,52899000,66766700,0.018505354
sh000001,1992/4/30,347,445.38,433.66,347,45704000,52587300,0.002746758
sh000001,1992/5/4,348,453.62,445.38,348,64362000,101358200,0.018501055
sh000001,1992/5/5,349,449.21,439.96,349,49359000,78293100,-0.009721794
sh000001,1992/5/6,350,449.96,446.39,350,33687000,54371200,0.001669598
sh000001,1992/5/7,351,454.65,449.55,351,34414000,51743900,0.010423149
sh000001,1992/5/8,352,468.11,454.65,352,48634000,84729000,0.029605191
sh000001,1992/5/11,353,491.5,468.11,353,30950000,60654000,0.049966888
sh000001,1992/5/12,354,506.53,491.5,354,33278000,65369200,0.030579858
sh000001,1992/5/13,355,514.04,499.4,355,33897000,64664400,0.014826368
sh000001,1992/5/14,356,523.36,511.91,356,33010000,60063600,0.018130885
sh000001,1992/5/15,357,544.35,523.36,357,63283000,75109300,0.040106237
sh000001,1992/5/18,358,571.82,544.35,358,29992000,61340800,0.050463856
sh000001,1992/5/19,359,598.11,571.82,359,47790000,58722400,0.045976006
sh000001,1992/5/20,360,616.99,598.11,360,65646000,119286200,0.0315661
sh000001,1992/5/21,361,1266.49,604.01,361,89657000,181277400,1.052691292
sh000001,1992/5/22,362,1339.99,1262.44,362,93725000,204173200,0.05803441
sh000001,1992/5/25,363,1421.57,1339.99,363,88969000,222429100,0.060881051
sh000001,1992/5/26,364,1301.35,1291,364,68128000,149448700,-0.08456847
sh000001,1992/5/27,365,1193.17,823.36,365,64528000,138824400,-0.083129058
sh000001,1992/5/28,366,1160.17,1114.94,366,48389000,117388200,-0.027657417
sh000001,1992/5/29,367,1234.71,1154.01,367,51615000,135997200,0.064249205
sh000001,1992/6/1,368,1183.24,1129.28,368,39394000,105366100,-0.041685902
sh000001,1992/6/2,369,1141.02,1138.58,369,34033000,84509600,-0.035681688
sh000001,1992/6/3,370,1059.07,1033.47,370,41002000,91844900,-0.071821703
sh000001,1992/6/4,371,1104.46,1050.45,371,43184000,94263200,0.042858357
